timedelta,category,subcategory1,n_tokens_title,title_polarity,title_subjectivity,n_tokens_preview,preview_polarity,preview_subjectivity,n_tokens_content,content_polarity,content_subjectivity,prop_non_stop,prop_unique_non_stop,author,day_of_week,month,num_imgs,num_hrefs,num_tags,author_category,n_tokens_cross,polarity_cross,subjectivity_cross,title_cross,preview_cross,content_cross,prop_cross,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4
256,Travel,Malaysia,16,0.13636363636363635,0.45454545454545453,21,0.2,0.4,734,0.1340037277537278,0.4394149831649832,1.0869565217391304,0.37003058103975534,TSL,4,7,7,14,2,100 to 200 posts,246624,0.003654647120556212,0.07989363330272421,0.9917355371900826,1.6800000000000002,43.22030239881278,0.40220715330408185,12.183232,3.8351288,8.633539,6.4735374,4.99122,10.466595,3.8522305,3.734715,5.3908935,5.1506686,8.7372,3.0708966,2.6705315,6.8895197,5.228008
179,Travel,Japan,15,0.5,0.9,19,0.0,0.0,1246,0.23646451285340173,0.5156768300286819,1.0988654781199352,0.2940038684719536,TSL,4,9,12,27,2,100 to 200 posts,355110,0.0,0.0,6.75,0.0,151.9363309215383,0.3230707014975438,3.9880462,1.1510377,6.243495,4.6709723,3.8097157,11.8850155,2.723591,6.5165143,4.7680016,6.492871,9.406954,3.403666,2.5820234,6.627098,5.6823707
246,Things To Do,Events,17,0.0,0.0,23,0.30416666666666664,0.5541666666666667,562,0.15434491978609627,0.41573826500297095,1.1382575757575757,0.43197278911564624,Kezia Tan,0,7,5,12,3,More than 200 posts,219742,0.0,0.0,0.0,3.8768576388888887,36.06190411010864,0.49169629973201395,9.655732,3.229539,7.5175624,5.3548336,6.04186,9.753956,3.8230832,3.8236382,4.981024,6.215153,0.39473414,1.6630648,2.925566,5.7435913,5.7954025
966,Adulting,Home,13,0.5,0.65,19,0.4666666666666667,0.44999999999999996,1480,0.1760467032967033,0.4633098055790364,1.0685210312075983,0.3520140105078809,Kezia Tan,1,7,10,30,3,More than 200 posts,365560,0.04107756410256411,0.13551811813186815,4.2250000000000005,3.9899999999999998,120.71496253829436,0.37613437350740325,5.647354,1.7210559,6.7790184,5.53741,4.0078115,11.037162,3.9212606,2.9903061,6.3017488,5.0046334,7.8168545,2.8773026,2.692689,6.1992726,4.7646356
1236,Things To Do,Monthly Lobangs,20,1.0,0.3,23,0.075,0.65,2046,0.14151764901764896,0.44870046620046616,1.0833333333333333,0.3403973509933775,Rachel Yohannan,4,11,30,1,2,50 to 100 posts,941160,0.010613823676323672,0.0874965909090909,6.0,1.1212499999999999,129.91902579375744,0.36876379690949224,-0.84396267,-0.21648796,5.3764567,4.768397,3.8832092,3.0690126,0.10885147,4.8301873,4.5956464,5.106708,-0.6044742,0.5909566,2.3817854,5.5799804,6.2848797
359,Things To Do,Activities,13,-0.2,0.3,14,0.0,0.8500000000000001,1297,0.0873076923076923,0.43852100574322755,0.9522342064714946,0.2733050847457627,Cherisse Goldwich,6,3,13,11,4,50 to 100 posts,236054,-0.0,0.11182285646452303,-0.78,0.0,49.65727538073665,0.26025045049750595,13.186199,4.113233,9.002855,6.5394406,4.926883,10.875356,4.157048,4.773035,6.499069,7.158386,11.756297,3.1743445,2.5778267,6.815985,4.9595566
663,Local,Businesses,16,0.8,1.0,22,0.5666666666666668,0.6333333333333333,361,0.24750000000000005,0.6066666666666666,1.1074626865671642,0.4635416666666667,Kezia Tan,3,5,3,12,2,More than 200 posts,127072,0.11220000000000005,0.38422222222222213,12.8,7.895555555555556,54.204150000000006,0.5133550995024876,10.487746,2.1998847,8.209851,6.461388,5.9471407,10.720466,3.3866074,3.0373108,6.3339663,4.281232,6.3832955,2.3226137,2.6417017,6.470712,5.315834
97,Travel,New Zealand,18,0.1,1.0,19,0.13636363636363635,0.45454545454545453,429,0.16917613636363643,0.47058712121212115,1.0496277915632755,0.40487804878048783,Kezia Tan,2,12,6,11,1,More than 200 posts,146718,0.0023069473140495877,0.2139032369146005,1.8,1.177685950413223,34.1535956143466,0.4249712521939116,10.577539,3.665818,7.9695005,5.862026,6.2367854,7.205206,1.669285,4.629309,4.696444,5.4654417,6.1414495,2.8845444,2.9896224,6.2772346,5.6352677
1006,Local,Perspectives,16,-0.2,0.35,29,0.4666666666666667,0.6666666666666667,1854,-0.02204688076781099,0.4056038276968507,1.0466988727858293,0.28034682080924855,Billy Tran,3,6,14,10,8,50 to 100 posts,860256,0.002057708871662359,0.09464089312926517,-1.1199999999999999,9.022222222222224,-16.57902276908321,0.29343870133013134,8.02012,2.374074,7.4629154,6.494391,4.2998495,7.2281346,1.6102984,5.279164,5.08121,5.883338,11.926137,3.7109623,2.8366296,6.712256,3.9670148
412,Things To Do,Hotels & Staycations,16,0.0,0.5,13,0.0,0.0,631,0.20432385075242218,0.35640074211502787,1.1685761047463175,0.3874538745387454,Joycelyn Yeow,2,2,3,11,1,100 to 200 posts,131248,0.0,0.0,0.0,0.0,45.95015955721694,0.4527693394773555,6.1887836,1.3435549,7.0125194,5.9428716,5.0125575,10.694962,3.2537951,3.7138834,6.5364823,4.4802036,7.039592,2.6397452,2.5710037,6.2832627,5.441679
